,SaleID,price
0,200000,1219.118
1,200001,1878.9989
2,200002,8780.271
3,200003,1265.6881
4,200004,1997.5946
5,200005,1099.6578
6,200006,436.5516
7,200007,3094.2112
8,200008,12342.675
9,200009,593.99786
10,200010,696.4459
11,200011,2639.336
12,200012,5891.415
13,200013,5230.2036
14,200014,1228.0614
15,200015,297.57764
16,200016,1766.7021
17,200017,8274.005
18,200018,6589.453
19,200019,1132.9026
20,200020,24332.814
21,200021,7987.67
22,200022,2190.4534
23,200023,1503.5424
24,200024,881.5464
25,200025,8078.2295
26,200026,455.74606
27,200027,12189.108
28,200028,4057.6677
29,200029,7736.178
30,200030,18862.443
31,200031,13399.237
32,200032,664.697
33,200033,14787.909
34,200034,834.89667
35,200035,1970.4694
36,200036,13802.924
37,200037,6012.473
38,200038,1569.7017
39,200039,391.5562
40,200040,613.016
41,200041,21958.387
42,200042,438.8303
43,200043,7478.8896
44,200044,18922.057
45,200045,478.65683
46,200046,15064.136
47,200047,17658.396
48,200048,2279.5042
49,200049,3281.5867
50,200050,656.7764
51,200051,4366.185
52,200052,2834.4346
53,200053,567.91003
54,200054,13522.3545
55,200055,10868.113
56,200056,7402.245
57,200057,3413.416
58,200058,1103.3024
59,200059,5262.722
60,200060,7965.5044
61,200061,1122.0471
62,200062,5580.5264
63,200063,8082.91
64,200064,1304.6647
65,200065,1633.2062
66,200066,373.35483
67,200067,10585.242
68,200068,215.0616
69,200069,16948.21
70,200070,8972.173
71,200071,297.84958
72,200072,6275.2236
73,200073,15904.866
74,200074,4711.1133
75,200075,13794.214
76,200076,2939.7969
77,200077,321.8051
78,200078,354.4939
79,200079,3237.3247
80,200080,3104.0696
81,200081,2153.6711
82,200082,3719.567
83,200083,435.55847
84,200084,1139.2535
85,200085,954.62506
86,200086,7254.7793
87,200087,3395.5132
88,200088,2463.773
89,200089,41451.074
90,200090,2641.549
91,200091,245.69052
92,200092,1496.4413
93,200093,16639.826
94,200094,6560.2974
95,200095,5881.646
96,200096,2594.0508
97,200097,1153.7681
98,200098,476.37857
99,200099,25648.838
100,200100,20930.799
101,200101,7364.206
102,200102,1857.2688
103,200103,10590.76
104,200104,5611.418
105,200105,4409.0283
106,200106,7972.7627
107,200107,2312.226
108,200108,13715.937
109,200109,7527.4585
110,200110,1048.7144
111,200111,1803.8967
112,200112,1809.3453
113,200113,1050.3253
114,200114,2453.0261
115,200115,1202.1094
116,200116,14493.722
117,200117,14241.485
118,200118,67592.74
119,200119,207.43668
120,200120,3166.5027
121,200121,2584.075
122,200122,705.0548
123,200123,2487.6692
124,200124,57235.51
125,200125,883.0728
126,200126,3045.8618
127,200127,15533.803
128,200128,1658.0554
129,200129,5860.1826
130,200130,3806.7249
131,200131,2383.3147
132,200132,952.888
133,200133,3024.3528
134,200134,1418.2445
135,200135,2812.006
136,200136,3961.2983
137,200137,664.75446
138,200138,9856.205
139,200139,6493.2417
140,200140,2686.017
141,200141,1457.4465
142,200142,5840.026
143,200143,6171.6807
144,200144,1409.0186
145,200145,6232.118
146,200146,2598.659
147,200147,4560.581
148,200148,1872.1847
149,200149,243.6294
150,200150,10935.54
151,200151,6886.883
152,200152,619.3196
153,200153,544.75885
154,200154,7652.0166
155,200155,2548.048
156,200156,16025.651
157,200157,8225.159
158,200158,11314.454
159,200159,1566.3228
160,200160,7291.178
161,200161,7186.5215
162,200162,6907.6484
163,200163,822.196
164,200164,16586.74
165,200165,15317.595
166,200166,24508.873
167,200167,3951.2825
168,200168,37323.734
169,200169,714.0766
170,200170,2449.2222
171,200171,8684.822
172,200172,1966.9988
173,200173,36956.62
174,200174,527.78796
175,200175,2362.55
176,200176,8374.064
177,200177,6066.0312
178,200178,5419.9556
179,200179,3867.9727
180,200180,961.49066
181,200181,16925.023
182,200182,4705.5273
183,200183,1561.0852
184,200184,2298.575
185,200185,4238.45
186,200186,4370.238
187,200187,7621.307
188,200188,13553.965
189,200189,9362.031
190,200190,4321.124
191,200191,2949.1675
192,200192,1087.2986
193,200193,4834.788
194,200194,6316.136
195,200195,2305.992
196,200196,586.3211
197,200197,21152.816
198,200198,1402.2034
199,200199,4627.226
200,200200,735.89984
201,200201,7524.161
202,200202,2130.711
203,200203,1611.5629
204,200204,8059.716
205,200205,5591.9067
206,200206,814.1639
207,200207,3178.9573
208,200208,6059.1973
209,200209,1822.8403
210,200210,13804.35
211,200211,5698.9297
212,200212,7586.516
213,200213,8868.16
214,200214,19645.586
215,200215,6949.2393
216,200216,3374.1196
217,200217,1182.194
218,200218,10196.036
219,200219,1289.9824
220,200220,2712.2053
221,200221,7898.499
222,200222,2202.455
223,200223,790.1263
224,200224,11724.04
225,200225,3245.6853
226,200226,1111.5012
227,200227,6652.6167
228,200228,234.5341
229,200229,7058.8613
230,200230,8685.6455
231,200231,5140.51
232,200232,998.52136
233,200233,7744.3643
234,200234,430.42056
